model,price,miles,listing_type,year
EX,28995,14185 ,Certified,2020
Sport,25998,60936 ,Used,2018
Sport,31995,7127 ,Certified,2021
LX,17140,90720 ,Used,2017
EX,29998,22879 ,Used,2021
EX,25595,72490 ,Used,2017
Sport,23400,48149 ,Used,2019
Sport,23488,49410 ,Used,2019
EX,4799,192627 ,Used,2005
VP,3999,214124 ,Used,2005
EX,6999,178875 ,Used,2006
LX,31995,13199 ,Used,2020
EX,34995,8974 ,Used,2022
EX,11999,135141 ,Used,2015
LX,16995,64000 ,Used,2016
LX,8995,134000 ,Used,2010
Si,9000,92000 ,Used,2002
Sport,26985,11428 ,Used,2022
LX,24254,5196 ,Used,2019
Sport,25288,33262 ,Used,2020
Si,28888,25389 ,Used,2017
Sport,23033,43659 ,Used,2019
EX-T,19988,76312 ,Used,2016
EX,17777,94666 ,Used,2016
Sport,27779,10135 ,Used,2021
EX,28588,5029 ,Used,2020
Type R,41988,29792 ,Used,2021
EX,22999,74206 ,Used,2018
Si,34988,4670 ,Used,2022
Sport,26999,26214 ,Used,2020
Sport,26688,28157 ,Used,2018
EX,26288,26240 ,Used,2018
EX-L,25769,18997 ,Used,2020
Sport,26999,14228 ,Used,2022
EX,25699,24313 ,Used,2019
LX,23999,30760 ,Used,2020
Sport,26629,24574 ,Used,2020
LX,21988,33880 ,Used,2020
LX,24999,24015 ,Used,2020
EX,27999,41035 ,Used,2020
Sport,27390,16940 ,Used,2021
LX,22999,54535 ,Used,2020
LX,25999,10720 ,Used,2021
Sport,22999,71200 ,Used,2018
LX,21999,22379 ,Used,2019
EX-T,18988,46802 ,Used,2018
Sport,25488,12787 ,Used,2019
LX,15816,70860 ,Used,2015
Si,23800,56550 ,Used,2018
Sport,22000,42478 ,Used,2019
LX,22200,16388 ,Used,2019
LX,23899,16998 ,Used,2020
Sport,26000,20149 ,Used,2022
LX,21500,39954 ,Used,2020
EX-L,16000,98120 ,Used,2015
Touring,19887,67473 ,Used,2016
EX-T,16500,114831 ,Used,2017
Sport,26500,37439 ,Used,2022
Si,23000,50242 ,Used,2017
Sport,22997,26119 ,Used,2019
LX,21997,29093 ,Used,2020
Type R,39987,5759 ,Used,2018
EX-L,8499,134690 ,Used,2009
LX,12999,97191 ,Used,2014
LX,12500,94040 ,Used,2013
DX,3900,176198 ,Used,2003
VP,4350,143710 ,Used,2005
LX,5300,131950 ,Used,2001
LX,6999,146600 ,Used,2001
LX,5950,158048 ,Used,2002
LX,20999,20870 ,Used,2018
EX,24499,28321 ,Used,2018
Sport,27499,7593 ,Used,2021
Touring,31800,10110 ,Used,2022
Touring,12995,173020 ,Used,2016
EX-T,18996,88499 ,Used,2017
EX,24999,15839 ,Used,2019
LX,22995,22046 ,Used,2019
EX,8750,145086 ,Used,2007
Si,29999,25913 ,Used,2022
EX,25929,20353 ,Used,2022
Sport,21904,58421 ,Used,2019
Sport,24166,50813 ,Used,2020
EX-T,22411,64558 ,Used,2018
LX,14771,125204 ,Used,2016
Sport,22882,53569 ,Used,2018
LX,22897,30420 ,Used,2018
LX,22858,61112 ,Used,2020
EX-T,21743,46828 ,Used,2016
LX,9552,160365 ,Used,2012
LX,10997,140700 ,Used,2013
EX,21717,51953 ,Used,2019
EX-T,20777,27572 ,Used,2017
Sport Touring,23088,61501 ,Used,2018
Sport,26388,19960 ,Used,2020
LX,13441,100647 ,Used,2015
EX,14977,134131 ,Used,2018
