model,price,miles
Used 2016 Honda Civic LX-P,"16,988","77,305 miles"
Used 2019 Honda Civic Si,"26,977","46,911 miles"
Used 2015 Honda Civic LX,"16,988","49,941 miles"
Used 2021 Honda Civic LX,"22,545","27,593 miles"
Used 2014 Honda Civic LX,"17,998","43,523 miles"
Certified 2021 Honda Civic LX,"23,995","24,899 miles"
Certified 2020 Honda Civic Sport,"24,988","25,822 miles"
Used 2020 Honda Civic Sport,"27,488","34,766 miles"
Used 2018 Honda Civic LX,"17,995","62,600 miles"
Certified 2019 Honda Civic Sport,"27,995","29,092 miles"
Used 2020 Honda Civic LX,"22,995","35,005 miles"
Used 2018 Honda Civic Sport,"24,779","57,795 miles"
Used 2019 Honda Civic EX,"25,804","45,980 miles"
Used 2021 Honda Civic EX-L,"28,880","19,725 miles"
Used 2021 Honda Civic Sport,"26,426","42,398 miles"
Used 2021 Honda Civic EX,"28,995","34,854 miles"
Used 2012 Honda Civic LX,"11,995","160,273 miles"
Used 2021 Honda Civic LX,"24,988","25,350 miles"
Used 2017 Honda Civic EX-T,"19,988","62,871 miles"
Used 2019 Honda Civic Si,"29,999","15,076 miles"
Used 2019 Honda Civic LX,"25,999","2,768 miles"
Used 2021 Honda Civic Sport,"30,999","10,058 miles"
Used 2019 Honda Civic LX,"24,699","22,000 miles"
Used 2018 Honda Civic EX,"21,998","52,125 miles"
Used 2019 Honda Civic EX,"17,988","93,420 miles"
Used 2020 Honda Civic LX,"22,888","38,180 miles"
Certified 2020 Honda Civic Sport,"25,799","47,832 miles"
Certified 2019 Honda Civic EX,"26,969","20,407 miles"
